"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","物料表测试用例","1","0","修改物料名称，自动补充标识，关联条件成功","0"
"0","","0","审核日志页用例","1","0","操作时间默认显示当天，异常默认显示为是","0"
"0","","0","事务管理页用例","1","0","事务模版-新增模版失败，事务类型不填写点击确定,不允许提交","0"
"0","","0","覆盖日历表测试用例","1","0","时序文本框的校验，输入错误的年份会爆红，点击确定时间标记会显示当前时间","0"
"0","","0","登录页面测试用例","1","0","密码错误 登录失败","0"
"0","","0","物料员测试用例","1","0","没有数据时显示正常","0"
"0","","0","物控需求定义页用例","1","0","查询数据库名称成功","0"
"0","","0","标准应用设置测试用例","1","0","添加仪表盘统计图 添加成功","0"
"0","","1","导入设置页用例","0","0","点击复制方案，只输入目的方案，不允许保存","0"
"0","","0","物料表测试用例","1","0","添加物料信息 不填写数据点击确认 不允许提交","0"
"0","","0","生产特征切换表测试用例","1","0","添加生产特征切换信息 填写资源不填写前生产特征和后生产特征 不允许提交","0"
"0","","0","事务管理页用例","1","0","我的流程-修改名称分类重复","0"
"0","","0","生产特征切换表测试用例","1","0","生产特征2切换增删查改","0"
"0","","0","物品切换表测试用例","2","0","删除数据成功","0"
"0","","0","用户与物料员测试用例","1","0","取消删除数据","0"
"0","","0","资源切换表测试用例","1","0","修改资源切换资源成功","0"
"0","","0","计划单元页用例","1","0","查询物料名称包含单元并且模版名称为标准","0"
"0","","0","事务管理页用例","1","0","我的流程-删除流程数据","0"
"0","","0","接收数据页用例","1","0","过滤条件查询，设置符合开头查询成功","0"
"0","","0","仓库库位测试用例","3","0","删除数据成功","0"
"0","","0","制造订单表测试用例","1","0","查询订单代码包含1或计划数量>=100","0"
"0","","0","物料库存测试用例","1","0","添加库存信息 不填写数据点击确认 不允许提交","0"
"0","","0","物控方案管理表测试用例","1","0","添加2个命令成功","0"
"0","","0","物料替代页用例","1","0","查询替代类别成功","0"
"0","","0","PSI设置用例","1","0","添加名称重复","0"
"0","","0","标准应用设置测试用例","1","0","设置表格布局-设置一页显示数据为50000","0"
"0","","0","字典页用例","1","0","不允许添加重复枚举值和名称","0"
"0","","0","工序表测试用例","1","0","没有数据时显示正常","0"
"0","","0","用户权限管理页用例","1","0","当前用户没有被锁定，点击解除当前锁定，显示用户未锁定","0"
"0","","0","物控方案管理表测试用例","1","0","添加命令成功","0"
"0","","0","多语言资源页用例","1","0","删除测试数据成功，删除布局成功","0"
"0","","0","物料BOM测试用例","1","0","添加数据重复","0"
"0","","0","甘特图测试用例","4","0","排序方案可选择-显示顺序-升序","0"
"0","","0","MRP需求计划表，MRP关联明细，请购单生成，计划单生成，请购单列表，工单列表页用例","1","0","点击查询计划单生成不报错","0"
"0","","0","未领料明细测试用例","1","0","添加未领料明细信息，有多个必填只填写一项，不允许提交","0"
"0","","0","主页设置页用例","1","0","刷新页面，点击保存，则修改的内容保存","0"
"0","","0","事务管理页用例","1","0","我的流程-添加流程名称点击保存提示重复","0"
"0","","0","物品切换表测试用例","1","0","校验数字文本框和文本框成功","0"
"0","","0","模块管理页用例","1","0","没有数据时显示正常","0"
"0","","0","未领料明细测试用例","1","0","过滤刷新成功","0"
"0","","0","未领料明细测试用例","1","0","新增全部数据测试","0"
"0","","0","模型设计页用例","1","0","新增模型不填写数据，不允许新增","0"
"0","","0","事务管理页用例","1","0","流程日志-全部条件搜索成功，没有数据的时候显示无数据","0"
