"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26676","test_materialShift_shiftdel","Tests.test_material","Tue Mar 10 12:27:06 CDT 2026","passed","Tue Mar 10 12:27:32 CDT 2026","TestItemPage","test_materialShift","",""
"","12424","test_item_editnamesuccess","Tests.test_items","Tue Mar 10 06:58:18 CDT 2026","passed","Tue Mar 10 06:58:31 CDT 2026","TestItemPage","test_item","",""
"","12773","test_materialVendors_delsuccess1","Tests.test_material","Tue Mar 10 12:04:25 CDT 2026","passed","Tue Mar 10 12:04:38 CDT 2026","TestItemPage","test_materialVendors","",""
"","6897","test_expression_addrepeat1","Tests.test_system","Tue Mar 10 15:41:32 CDT 2026","passed","Tue Mar 10 15:41:39 CDT 2026","TestSExpressionPage","test_expression","",""
"","10158","test_production_editnum3","Tests.test_items","Tue Mar 10 10:21:00 CDT 2026","broken","Tue Mar 10 10:21:10 CDT 2026","TestProductionPage","test_production","",""
"","73736","test_unpickedMaterialDetails_editnamesuccess","Tests.test_material","Tue Mar 10 13:33:23 CDT 2026","passed","Tue Mar 10 13:34:37 CDT 2026","TestItemPage","test_unpickedMaterialDetails","",""
"","18748","test_production_add1","Tests.test_items","Tue Mar 10 10:16:12 CDT 2026","broken","Tue Mar 10 10:16:31 CDT 2026","TestProductionPage","test_production","",""
"","5330","test_customer_addsuccess","Tests.test_items","Tue Mar 10 06:48:44 CDT 2026","passed","Tue Mar 10 06:48:49 CDT 2026","TestCustomerPage","test_customer","",""
"","7323","test_environment_cycle_numinput1","Tests.test_system","Tue Mar 10 14:22:26 CDT 2026","passed","Tue Mar 10 14:22:33 CDT 2026","TestEnvironmentPage","test_environment","",""
"","14591","test_materialControlSupplyDefinition_selectsuccess2","Tests.test_material","Tue Mar 10 13:51:24 CDT 2026","passed","Tue Mar 10 13:51:38 CDT 2026","TestSMaterialControlSupplyDefinitionPage","test_materialControlSupplyDefinition","",""
"","6878","test_planUnit_repeat","Tests.test_system","Tue Mar 10 14:49:00 CDT 2026","passed","Tue Mar 10 14:49:07 CDT 2026","TestPlanUnitPage","test_planUnit","",""
"","6818","test_material_allocationdetails_select","Tests.test_material","Tue Mar 10 14:13:48 CDT 2026","passed","Tue Mar 10 14:13:55 CDT 2026","TestSPlanDataPage","test_materialPlanData","",""
"","18484","test_order_selectnamesuccess","Tests.test_items","Tue Mar 10 09:17:55 CDT 2026","passed","Tue Mar 10 09:18:14 CDT 2026","TestOrderPage","test_order","",""
"","3593","test_shift_delcancel","Tests.test_items","Tue Mar 10 08:14:13 CDT 2026","passed","Tue Mar 10 08:14:17 CDT 2026","TestShiftPage","test_shift","",""
"","14788","test_materialVendorQuota_ctrlC","Tests.test_material","Tue Mar 10 12:15:22 CDT 2026","passed","Tue Mar 10 12:15:37 CDT 2026","TestItemPage","test_materialVendorQuota","",""
"","10343","test_process_addnamefail","Tests.test_items","Tue Mar 10 07:44:34 CDT 2026","passed","Tue Mar 10 07:44:44 CDT 2026","TestProcessPage","test_process","",""
"","9491","test_tablesetting_addlayout","Tests.test_items","Tue Mar 10 11:16:33 CDT 2026","passed","Tue Mar 10 11:16:43 CDT 2026","TestTableSettingPage","test_tablesetting","",""
"","14222","test_workprogress_select","Tests.test_system","Tue Mar 10 17:12:57 CDT 2026","passed","Tue Mar 10 17:13:11 CDT 2026","TestsWorkProgressPage","test_workprogress","",""
"","17867","test_acceptdata_clear","Tests.test_system","Tue Mar 10 17:05:04 CDT 2026","passed","Tue Mar 10 17:05:21 CDT 2026","TestSAcceptDataPage","test_acceptdata","",""
"","18344","test_language_select5","Tests.test_system","Tue Mar 10 16:38:10 CDT 2026","passed","Tue Mar 10 16:38:29 CDT 2026","TestSLanguagePage","test_language","",""
"","13512","test_acceptdata_del","Tests.test_system","Tue Mar 10 17:05:21 CDT 2026","passed","Tue Mar 10 17:05:35 CDT 2026","TestSAcceptDataPage","test_acceptdata","",""
"","7269","test_auditlog_defaultsele1","Tests.test_system","Tue Mar 10 15:27:19 CDT 2026","passed","Tue Mar 10 15:27:26 CDT 2026","TestAuditLogPage","test_auditLog","",""
"","12602","test_unit_select5","Tests.test_system","Tue Mar 10 14:52:11 CDT 2026","passed","Tue Mar 10 14:52:24 CDT 2026","TestPlanUnitPage","test_planUnit","",""
"","61362","test_MaterialCTB_editnamesuccess","Tests.test_material","Tue Mar 10 11:35:56 CDT 2026","passed","Tue Mar 10 11:36:58 CDT 2026","TestItemPage","test_MaterialCTB","",""
"","1055","test_production_delete3","Tests.test_items","Tue Mar 10 10:25:06 CDT 2026","broken","Tue Mar 10 10:25:07 CDT 2026","TestProductionPage","test_production","",""
"","14025","test_shift_clear","Tests.test_items","Tue Mar 10 08:16:54 CDT 2026","passed","Tue Mar 10 08:17:08 CDT 2026","TestShiftPage","test_shift","",""
"","23454","test_affairs_process_update2","Tests.test_system","Tue Mar 10 14:36:44 CDT 2026","passed","Tue Mar 10 14:37:07 CDT 2026","TestAffairsPage","test_affairs","",""
"","10085","test_calendar_ctrlM","Tests.test_items","Tue Mar 10 08:36:13 CDT 2026","passed","Tue Mar 10 08:36:23 CDT 2026","TestCalendarPage","test_calendar","",""
"","13430","test_taskdetails_select5","Tests.test_items","Tue Mar 10 09:59:15 CDT 2026","passed","Tue Mar 10 09:59:28 CDT 2026","TestWorkTasksPage","test_worktasks","",""
"","5904","test_coverage_refreshsuccess","Tests.test_items","Tue Mar 10 08:26:53 CDT 2026","failed","Tue Mar 10 08:26:59 CDT 2026","TestCoveragePage","test_coverage","",""
"","15364","test_dictionary_editsuccess1","Tests.test_system","Tue Mar 10 16:55:38 CDT 2026","passed","Tue Mar 10 16:55:53 CDT 2026","TestSDictionaryPage","test_dictionary","",""
"","14209","test_module_delsuccess","Tests.test_system","Tue Mar 10 16:26:06 CDT 2026","broken","Tue Mar 10 16:26:20 CDT 2026","TestSModulePage","test_module","",""
"","5237","test_materialsched_addcommandfail","Tests.test_material","Tue Mar 10 13:56:47 CDT 2026","passed","Tue Mar 10 13:56:53 CDT 2026","TestMaterialSchedPage","test_materialSched","",""
"","13618","test_sched_attribute4","Tests.test_items","Tue Mar 10 09:42:29 CDT 2026","passed","Tue Mar 10 09:42:43 CDT 2026","TestSchedPage","test_sched","",""
"","46408","test_setting_share_layout3","Tests.test_items","Tue Mar 10 11:05:53 CDT 2026","passed","Tue Mar 10 11:06:39 CDT 2026","TestSettingPage","test_setting","",""
"","132004","test_module_sort1","Tests.test_system","Tue Mar 10 16:15:39 CDT 2026","broken","Tue Mar 10 16:17:51 CDT 2026","TestSModulePage","test_module","",""
"","22254","test_changeR_del1","Tests.test_items","Tue Mar 10 08:51:58 CDT 2026","passed","Tue Mar 10 08:52:20 CDT 2026","TestChangeRPage","test_changeR","",""
"","11262","test_button_updateenabled","Tests.test_system","Tue Mar 10 16:41:49 CDT 2026","passed","Tue Mar 10 16:42:00 CDT 2026","TestSButtonPage","test_button","",""
"","8528","test_affairs_template_addfail4","Tests.test_system","Tue Mar 10 14:27:16 CDT 2026","passed","Tue Mar 10 14:27:25 CDT 2026","TestAffairsPage","test_affairs","",""
"","4946","test_MaterialCTB_addcodefail","Tests.test_material","Tue Mar 10 11:34:47 CDT 2026","passed","Tue Mar 10 11:34:52 CDT 2026","TestItemPage","test_MaterialCTB","",""
"","13828","test_sched_work","Tests.test_items","Tue Mar 10 09:44:54 CDT 2026","passed","Tue Mar 10 09:45:08 CDT 2026","TestSchedPage","test_sched","",""
"","41552","test_role_addtestdata1","Tests.test_system","Tue Mar 10 14:57:43 CDT 2026","passed","Tue Mar 10 14:58:25 CDT 2026","TestRolePage","test_role","",""
"","13103","test_materialVendors_select5","Tests.test_material","Tue Mar 10 12:07:23 CDT 2026","passed","Tue Mar 10 12:07:37 CDT 2026","TestItemPage","test_materialVendors","",""
"","7175","test_resourcechart_instruction","Tests.test_items","Tue Mar 10 10:26:37 CDT 2026","passed","Tue Mar 10 10:26:45 CDT 2026","TestChartPage","test_chart","",""
"","19430","test_materialControlSupplyDefinition_select4","Tests.test_material","Tue Mar 10 13:52:31 CDT 2026","passed","Tue Mar 10 13:52:50 CDT 2026","TestSMaterialControlSupplyDefinitionPage","test_materialControlSupplyDefinition","",""
"","10187","test_shift_addnum","Tests.test_items","Tue Mar 10 08:12:52 CDT 2026","passed","Tue Mar 10 08:13:02 CDT 2026","TestShiftPage","test_shift","",""
"","18159","test_interfaceconfiguration_addsuccess2","Tests.test_system","Tue Mar 10 17:06:28 CDT 2026","passed","Tue Mar 10 17:06:46 CDT 2026","TestSInterfaceConfigurationPage","test_interfaceconfiguration","",""
"","13013","test_materialVendorQuota_select5","Tests.test_material","Tue Mar 10 12:14:09 CDT 2026","passed","Tue Mar 10 12:14:22 CDT 2026","TestItemPage","test_materialVendorQuota","",""
"","5090","test_process_addsel","Tests.test_items","Tue Mar 10 07:44:55 CDT 2026","passed","Tue Mar 10 07:45:00 CDT 2026","TestProcessPage","test_process","",""
"","12398","test_coverage_restart","Tests.test_items","Tue Mar 10 08:24:29 CDT 2026","broken","Tue Mar 10 08:24:41 CDT 2026","TestCoveragePage","test_coverage","",""
"","7044","test_loadChart_filter","Tests.test_items","Tue Mar 10 10:33:01 CDT 2026","passed","Tue Mar 10 10:33:08 CDT 2026","TestChartPage","test_chart","",""
"","65642","test_order_adjustinventory","Tests.test_items","Tue Mar 10 09:29:06 CDT 2026","passed","Tue Mar 10 09:30:12 CDT 2026","TestOrderPage","test_order","",""
"","9467","test_production_addfail1","Tests.test_items","Tue Mar 10 10:14:11 CDT 2026","passed","Tue Mar 10 10:14:21 CDT 2026","TestProductionPage","test_production","",""
"","5070","test_home_nodelete_template","Tests.test_system","Tue Mar 10 14:19:17 CDT 2026","passed","Tue Mar 10 14:19:23 CDT 2026","TestHomePage","test_home","",""
"","10920","test_online_ref","Tests.test_system","Tue Mar 10 17:00:45 CDT 2026","passed","Tue Mar 10 17:00:55 CDT 2026","TestSOnlinePage","test_online","",""
"","13273","test_materialBuyer_select2","Tests.test_material","Tue Mar 10 12:38:36 CDT 2026","passed","Tue Mar 10 12:38:49 CDT 2026","TestItemPage","test_materialBuyer","",""
"","15320","test_material_materialdimension_select6","Tests.test_material","Tue Mar 10 14:09:22 CDT 2026","passed","Tue Mar 10 14:09:37 CDT 2026","TestSPlanDataPage","test_materialPlanData","",""
"","18517","test_materialcalendar_addweeksuccess","Tests.test_material","Tue Mar 10 12:29:25 CDT 2026","passed","Tue Mar 10 12:29:43 CDT 2026","TestMaterialCalendarPage","test_materialcalendar","",""
"","24139","test_materialsched_click1","Tests.test_material","Tue Mar 10 13:58:30 CDT 2026","passed","Tue Mar 10 13:58:54 CDT 2026","TestMaterialSchedPage","test_materialSched","",""
"","27233","test_master_shiftdel","Tests.test_items","Tue Mar 10 09:37:44 CDT 2026","passed","Tue Mar 10 09:38:11 CDT 2026","TestMasterPage","test_master","",""
"","15847","test_spec_select2","Tests.test_items","Tue Mar 10 06:36:14 CDT 2026","passed","Tue Mar 10 06:36:30 CDT 2026","TestSpecPage","test_spec1","",""
