"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9081","test_loadChart_editlayout","Tests.test_items","Thu Jan 22 23:35:41 CST 2026","passed","Thu Jan 22 23:35:50 CST 2026","TestChartPage","test_chart","",""
"","13164","test_menu_addsuccess","Tests.test_system","Fri Jan 23 04:50:13 CST 2026","passed","Fri Jan 23 04:50:26 CST 2026","TestSMenuPage","test_menu","",""
"","23878","test_changeI_del1","Tests.test_items","Thu Jan 22 21:40:43 CST 2026","passed","Thu Jan 22 21:41:07 CST 2026","TestChangeIPage","test_changeI","",""
"","8943","test_environment_cycle_time1","Tests.test_system","Fri Jan 23 03:10:31 CST 2026","passed","Fri Jan 23 03:10:40 CST 2026","TestEnvironmentPage","test_environment","",""
"","11127","test_materialControlSupplyDefinition_selectsuccess2","Tests.test_material","Fri Jan 23 02:29:12 CST 2026","passed","Fri Jan 23 02:29:24 CST 2026","TestSMaterialControlSupplyDefinitionPage","test_materialControlSupplyDefinition","",""
"","3653","test_changeI_delcancel","Tests.test_items","Thu Jan 22 21:38:40 CST 2026","passed","Thu Jan 22 21:38:44 CST 2026","TestChangeIPage","test_changeI","",""
"","8840","test_menu_addfail2","Tests.test_system","Fri Jan 23 04:49:55 CST 2026","passed","Fri Jan 23 04:50:04 CST 2026","TestSMenuPage","test_menu","",""
"","14191","test_affairs_log_paging3","Tests.test_system","Fri Jan 23 03:35:11 CST 2026","failed","Fri Jan 23 03:35:25 CST 2026","TestAffairsPage","test_affairs","",""
"","21947","test_tablesetting_order_invalid","Tests.test_items","Fri Jan 23 00:21:31 CST 2026","passed","Fri Jan 23 00:21:53 CST 2026","TestTableSettingPage","test_tablesetting","",""
"","15360","test_home_clear_all_cancel","Tests.test_system","Fri Jan 23 03:02:19 CST 2026","broken","Fri Jan 23 03:02:35 CST 2026","TestHomePage","test_home","",""
"","39152","test_planningAnnouncement_select1","Tests.test_items","Thu Jan 22 23:08:18 CST 2026","passed","Thu Jan 22 23:08:58 CST 2026","TestPlanDataPage","test_plandata","",""
"","8822","test_imp_ticksuccess1","Tests.test_system","Fri Jan 23 04:14:21 CST 2026","passed","Fri Jan 23 04:14:30 CST 2026","TestImpPage","test_imp","",""
"","23042","test_orderPreOccupiedMaterials_selectnodatasuccess","Tests.test_material","Fri Jan 23 02:07:54 CST 2026","passed","Fri Jan 23 02:08:17 CST 2026","TestItemPage","test_orderPreOccupiedMaterials","",""
"","19143","test_module_clear","Tests.test_system","Fri Jan 23 05:03:47 CST 2026","passed","Fri Jan 23 05:04:06 CST 2026","TestSModulePage","test_module","",""
"","18513","test_language_addfail1","Tests.test_system","Fri Jan 23 05:13:25 CST 2026","passed","Fri Jan 23 05:13:44 CST 2026","TestSLanguagePage","test_language","",""
"","13498","test_requirementdetails_select4","Tests.test_items","Thu Jan 22 23:04:29 CST 2026","passed","Thu Jan 22 23:04:43 CST 2026","TestWorkTasksPage","test_worktasks","",""
"","32778","test_resourceAllocation_allocation2","Tests.test_system","Fri Jan 23 04:35:37 CST 2026","broken","Fri Jan 23 04:36:10 CST 2026","TestResourceAllocationPage","test_resourceAllocation","",""
"","11257","test_home_delete_template1","Tests.test_system","Fri Jan 23 03:08:07 CST 2026","broken","Fri Jan 23 03:08:18 CST 2026","TestHomePage","test_home","",""
"","2164","test_home_switch_template3","Tests.test_system","Fri Jan 23 03:04:36 CST 2026","broken","Fri Jan 23 03:04:38 CST 2026","TestHomePage","test_home","",""
"","13114","test_environment_cycle_numinput2","Tests.test_system","Fri Jan 23 03:10:05 CST 2026","passed","Fri Jan 23 03:10:18 CST 2026","TestEnvironmentPage","test_environment","",""
